,0
615,"1,035 sqft"
616," $1,150,000  "
617, 06/14/18  
618,Condo
619,1911
620,No Data
621,No Data
622,No Data
623,$200/month
624,"2110 21st Ave, San Francisco, CA 94116 "
625,2 beds
626,1 bath
627,"1,474 sqft"
628," $1,425,000  "
629, 06/14/18  
630,Single Family
631,1941
632,No Data
633,No Data
634,No Data
635,"1,624 sqft"
636,"1551 26th Ave, San Francisco, CA 94122 "
637,3 beds
638,2 baths
639,"1,405 sqft"
640," $1,705,000  "
641, 06/14/18  
642,Single Family
643,1947
644,Forced air
645,Central
646,Attached Garage
647,"3,001 sqft"
648,"700 Cabrillo St APT 3, San Francisco, CA 94118 "
649,2 beds
650,1 bath
651,"1,017 sqft"
652," $1,130,000  "
653, 06/14/18  
654,Condo
655,1908
656,Forced air
657,Central
658,1 space
659,$400/month
660,"2878 Jackson St, San Francisco, CA 94115 "
661,2 beds
662,1 bath
663,"1,360 sqft"
664," $1,400,000  "
665, 06/13/18  
666,Condo
667,1908
668,No Data
669,None
670,No Data
671,$572/month
672,"2945 Pacific Ave APT 9, San Francisco, CA 94115 "
673,1 bed
674,1 bath
675,"1,032 sqft"
676," $1,245,000  "
677, 06/13/18  
678,Condo
679,1923
680,No Data
681,No Data
682,Attached Garage
683,$825/month
684,"1450 Post St APT 716, San Francisco, CA 94109 "
685,2 beds
686,2 baths
687,"1,094 sqft"
688," $500,000  "
689, 06/13/18  
690,Condo
691,1992
692,No Data
693,No Data
694,Attached Garage
695,$6669/month
696,"2114 Divisadero St, San Francisco, CA 94115 "
697,2 beds
698,2 baths
699,"1,419 sqft"
700," $1,810,000  "
701, 06/13/18  
702,Single Family
703,1898
704,Forced air
705,None
706,Attached Garage
707,"2,178 sqft"
708,"1450 Post St APT 915, San Francisco, CA 94109 "
709,-- beds
710,-- baths
711,535 sqft
712," $925,000  "
713, 06/13/18  
714,Condo
715,1992
716,No Data
717,No Data
718,No Data
719,No Data
720,"3620 19th St APT 8, San Francisco, CA 94110 "
721,2 beds
722,2.5 baths
723,"1,537 sqft"
724," $1,620,000  "
725, 06/13/18  
726,Condo
727,2008
728,No Data
729,No Data
730,No Data
731,$557/month
732,"1800 Noriega St, San Francisco, CA 94122 "
733,Studio
734,-- baths
735,"2,974 sqft"
736," $1,675,000  "
737, 06/13/18  
738,Multi Family
739,1932
740,No Data
741,No Data
742,No Data
743,No Data
744,"2999 California St # 703, San Francisco, CA 94115 "
745,1 bed
746,1 bath
747,613 sqft
748," $730,000  "
749, 06/13/18  
750,Condo
751,1929
752,No Data
753,No Data
754,No Data
755,No Data
756,"2211 California St APT 204, San Francisco, CA 94115 "
757,Studio
758,1 bath
759,409 sqft
760," $475,000  "
761, 06/13/18  
762,Condo
763,1911
764,Baseboard
765,None
766,None
767,$514/month
768,"520 34th Ave, San Francisco, CA 94121 "
769,2 beds
770,1 bath
771,"1,300 sqft"
772," $1,200,000  "
773, 06/13/18  
774,Single Family
775,1924
776,No Data
777,No Data
778,Attached Garage
779,No Data
780,"1450 Post St APT 714, San Francisco, CA 94109 "
781,-- beds
782,-- baths
783,385 sqft
784," $500,000  "
785, 06/13/18  
786,Condo
787,1992
788,No Data
789,No Data
790,No Data
791,No Data
792,"5326 California St, San Francisco, CA 94118 "
793,5 beds
794,3.5 baths
795,"2,903 sqft"
796," $2,975,000  "
797, 06/13/18  
798,Single Family
799,1914
800,No Data
801,No Data
802,1 space
803,"2,500 sqft"
804,"1450 Post St APT 711, San Francisco, CA 94109 "
805,-- beds
806,-- baths
807,385 sqft
808," $500,000  "
809, 06/13/18  
810,Condo
811,1992
812,No Data
813,No Data
814,No Data
815,No Data
816,"2185 Bush St APT 207, San Francisco, CA 94115 "
817,1 bed
818,1 bath
819,889 sqft
820," $930,000  "
821, 06/12/18  
822,Condo
823,1984
824,No Data
825,No Data
826,Attached Garage
827,$603/month
828,"501 Noe #201, San Francisco, CA 94114 "
829,2 beds
830,2 baths
831,"1,366 sqft"
832," $1,455,000  "
833, 06/12/18  
834,Condo
835,No Data
836,No Data
837,No Data
838,No Data
839,No Data
840,"1359 Scott St, San Francisco, CA 94115 "
841,2 beds
842,2 baths
843,"1,351 sqft"
844," $1,150,000  "
845, 06/12/18  
846,Condo
847,1987
848,Forced air
849,Central
850,Attached Garage
851,$647/month
852,"2295 Vallejo St APT 105, San Francisco, CA 94123 "
853,1 bed
854,1 bath
855,765 sqft
856," $875,000  "
857, 06/12/18  
858,Condo
859,1975
860,No Data
861,No Data
862,Carport
863,$477/month
864,"1426-1428 14th Avenue, San Francisco, CA 94122 "
865,4 beds
866,2 baths
867,-- sqft
868," $1,860,000  "
869, 06/12/18  
870,Multi Family
871,No Data
872,No Data
873,No Data
874,No Data
875,No Data
876,"2447 Vallejo St APT 6, San Francisco, CA 94123 "
877,2 beds
878,1 bath
879,"1,314 sqft"
880," $1,650,000  "
881, 06/11/18  
882,Condo
883,1923
884,No Data
885,No Data
886,None
887,$475/month
888,"40 Palm Ave, San Francisco, CA 94118 "
889,3 beds
890,2 baths
891,"1,417 sqft"
892," $1,775,000  "
893, 06/11/18  
894,Condo
895,1910
896,No Data
897,No Data
898,1 space
899,No Data
900,"92 6th Ave, San Francisco, CA 94118 "
901,2 beds
902,1 bath
903,700 sqft
904," $818,000  "
905, 06/09/18  
906,Condo
907,1912
908,Forced air
909,Central
910,Carport
911,$408/month
912,"1863 18th Ave, San Francisco, CA 94122 "
913,3 beds
914,2 baths
915,"1,712 sqft"
916," $1,625,000  "
917, 06/08/18  
918,Single Family
919,1922
920,Forced air
921,Central
922,Attached Garage
923,"2,495 sqft"
924,"267 15th Ave, San Francisco, CA 94118 "
925,3 beds
