SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-6-2018,Condo/Co-op,751 Baker,San Francisco,CA,94115,1325000,3,1.0,North Panhandle,,,,9,,100,Sold,,,http://www.redfin.com/CA/San-Francisco/751-Baker-St-94115/home/17305070,San Francisco MLS,470562,N,Y,37.778033,-122.442156
PAST SALE,,Single Family Residential,4536 20th St,San Francisco,CA,94114,1450000,2,1.0,,1105,1873,1900,,1312,,,,,http://www.redfin.com/CA/San-Francisco/4536-20th-St-94114/home/934451,,,N,Y,37.7576282,-122.4386952
PAST SALE,,Condo/Co-op,1209 2nd Ave,San Francisco,CA,94122,1100000,3,1.5,,1300,,1908,,846,,,,,http://www.redfin.com/CA/San-Francisco/1209-2nd-Ave-94122/home/874656,,,N,Y,37.766012,-122.459194
PAST SALE,,Multi-Family (5+ Unit),501 Masonic Ave,San Francisco,CA,94117,2400000,4,4.0,,3438,3613,1923,,698,,,,,http://www.redfin.com/CA/San-Francisco/501-Masonic-Ave-94117/home/597092,,,N,Y,37.7765869,-122.4468786
PAST SALE,,Multi-Family (5+ Unit),1457 Fulton St #1467,San Francisco,CA,94117,1600000,,6.0,,11280,6875,1900,,142,,,,,http://www.redfin.com/CA/San-Francisco/1457-Fulton-St-94117/unit-1467/home/2010289,,,N,Y,37.7762412,-122.4407564
PAST SALE,June-18-2018,Single Family Residential,180 Downey St,San Francisco,CA,94117,1578000,3,3.0,Buena Vista Park,1400,1999,1900,27,1127,,Sold,,,http://www.redfin.com/CA/San-Francisco/180-Downey-St-94117/home/1515589,San Francisco MLS,470389,N,Y,37.765797,-122.4467459
PAST SALE,July-2-2018,Condo/Co-op,919 Central Ave,San Francisco,CA,94115,1040000,1,1.0,North Panhandle,881,,1900,13,1180,290,Sold,,,http://www.redfin.com/CA/San-Francisco/919-Central-Ave-94115/home/21966392,San Francisco MLS,471176,N,Y,37.778492,-122.445587
PAST SALE,June-20-2018,Condo/Co-op,4545 18th St,San Francisco,CA,94114,1550000,2,2.0,Eureka Valley/Dolore,1334,,1904,25,1162,350,Sold,,,http://www.redfin.com/CA/San-Francisco/4543-18th-St-94114/home/1291484,San Francisco MLS,470764,N,Y,37.7603104,-122.4403194
PAST SALE,June-21-2018,Condo/Co-op,409 14th Ave,San Francisco,CA,94118,1075000,2,1.0,Central Richmond,1180,,1946,24,911,122,Sold,,,http://www.redfin.com/CA/San-Francisco/409-14th-Ave-94118/home/1284891,San Francisco MLS,470756,N,Y,37.7802817,-122.4730614
PAST SALE,June-18-2018,Townhouse,121 4th Ave,San Francisco,CA,94118,1400000,3,3.0,Lake,1376,,1904,27,1017,159,Sold,,,http://www.redfin.com/CA/San-Francisco/121-4th-Ave-94118/home/1891767,San Francisco MLS,470447,N,Y,37.786269,-122.462842
